date,open,high,low,close,volume
2020-10-28 01:00:00,1.1779,1.17879,1.17744,1.17794,
2020-10-28 05:00:00,1.17793,1.17851,1.17498,1.17647,
2020-10-28 09:00:00,1.17645,1.17649,1.17178,1.17266,
2020-10-28 13:00:00,1.17267,1.17603,1.17206,1.1751,
2020-10-28 17:00:00,1.1751,1.17581,1.17445,1.17457,
2020-10-28 21:00:00,1.17457,1.17563,1.17434,1.17514,
2020-10-29 01:00:00,1.17515,1.17587,1.1744,1.17527,
2020-10-29 05:00:00,1.17528,1.17573,1.17248,1.17292,
2020-10-29 09:00:00,1.17291,1.17385,1.16951,1.17041,
2020-10-29 13:00:00,1.17041,1.17144,1.16548,1.16606,
2020-10-29 17:00:00,1.16605,1.16783,1.16501,1.16731,
2020-10-29 21:00:00,1.16743,1.16789,1.1668,1.16741,
2020-10-30 01:00:00,1.16741,1.16945,1.16724,1.16814,
2020-10-30 05:00:00,1.16815,1.16843,1.16604,1.16686,
2020-10-30 09:00:00,1.16688,1.17042,1.16645,1.16992,
2020-10-30 13:00:00,1.16992,1.17027,1.1642,1.16509,
2020-10-30 17:00:00,1.16508,1.16512,1.164,1.16431,
2020-11-01 22:00:00,1.16498,1.16503,1.16377,1.16417,
2020-11-02 02:00:00,1.16418,1.16471,1.163,1.16371,
2020-11-02 06:00:00,1.16372,1.16492,1.16221,1.16402,
2020-11-02 10:00:00,1.16402,1.16557,1.16361,1.16371,
2020-11-02 14:00:00,1.1637,1.16406,1.16238,1.16277,
2020-11-02 18:00:00,1.16277,1.16411,1.16228,1.16404,
2020-11-02 22:00:00,1.16404,1.16511,1.16318,1.16499,
2020-11-03 02:00:00,1.16499,1.16596,1.16472,1.16548,
2020-11-03 06:00:00,1.16547,1.16976,1.16532,1.16966,
2020-11-03 10:00:00,1.16965,1.1718,1.16917,1.17045,
2020-11-03 14:00:00,1.17044,1.17397,1.17025,1.17094,
2020-11-03 18:00:00,1.17096,1.17225,1.16957,1.1715,
2020-11-03 22:00:00,1.1715,1.17704,1.16744,1.16836,
2020-11-04 02:00:00,1.16837,1.16858,1.16026,1.16587,
2020-11-04 06:00:00,1.16589,1.16953,1.16282,1.16755,
2020-11-04 10:00:00,1.16756,1.17455,1.16721,1.17102,
2020-11-04 14:00:00,1.17103,1.17341,1.16803,1.1715,
2020-11-04 18:00:00,1.1715,1.17285,1.171,1.17244,
2020-11-04 22:00:00,1.17251,1.1739,1.17164,1.17214,
2020-11-05 02:00:00,1.17214,1.17441,1.17107,1.1736,
2020-11-05 06:00:00,1.17361,1.18023,1.17274,1.17943,
2020-11-05 10:00:00,1.17942,1.18596,1.17887,1.18391,
2020-11-05 14:00:00,1.18391,1.18398,1.17913,1.18032,
2020-11-05 18:00:00,1.18033,1.18441,1.17951,1.18268,
